product_id,product_name,category,subcategory,brand,supplier_id,unit_cost
103,Family Laptops,Electronics,Laptops,May-Ross,11,38.41
104,Threat Produce,Grocery,Produce,"Rivera, Johnson and Wiley",41,113.2
105,Every Shoes,Clothing,Shoes,Carpenter LLC,1,54.1
106,American Headphones,Electronics,Headphones,Carlson LLC,16,169.04
107,Shoulder Jackets,Clothing,Jackets,Graham-Joyce,40,192.89
108,Business Headphones,Electronics,Headphones,Lam-Lee,39,98.5
109,Another Hats,Clothing,Hats,"Graham, Meyer and Drake",50,155.96
110,Right Bedding,Home,Bedding,"Bentley, Mclaughlin and Gonzalez",46,26.28
111,Lawyer Headphones,Electronics,Headphones,Rush LLC,49,185.45
112,Price Hats,Clothing,Hats,Alvarado-Martinez,48,141.67
113,We T-Shirts,Clothing,T-Shirts,Hunter-Estrada,16,109.42
114,General Beverages,Grocery,Beverages,Terry-Spencer,33,98.58
115,Dark T-Shirts,Clothing,T-Shirts,Ortega-Gray,19,188.92
116,Smile Furniture,Home,Furniture,Gilbert LLC,18,127.68
117,Into Decor,Home,Decor,"Bass, Torres and Clark",20,150.91
118,Stock Kitchen,Home,Kitchen,"Lawson, Morris and Ramos",12,126.79
119,Republican Frozen,Grocery,Frozen,Dixon Ltd,34,168.23
120,Condition Shoes,Clothing,Shoes,"Miller, Robertson and Schultz",23,64.02
121,Government Produce,Grocery,Produce,Cardenas and Sons,47,122.95
122,Remember Shoes,Clothing,Shoes,Walker-Gonzalez,24,90.8
123,Ago Produce,Grocery,Produce,Sanchez Group,42,29.8
124,Popular Jackets,Clothing,Jackets,Gibson Ltd,10,196.85
125,Parent Dairy,Grocery,Dairy,Higgins Group,40,135.89
126,Miss Kitchen,Home,Kitchen,Sanchez-Douglas,11,136.66
127,Accept Snacks,Grocery,Snacks,Osborne and Sons,37,116.44
128,Control Snacks,Grocery,Snacks,"Holmes, Williams and Wright",6,175.2
129,Thus Decor,Home,Decor,Bryant Group,9,84.63
130,Region Dairy,Grocery,Dairy,"Travis, Larson and Dodson",7,120.94
131,Vote Bedding,Home,Bedding,Salazar-Ball,15,118.14
132,Mother Monitors,Electronics,Monitors,Rivas-Kelley,8,65.62
133,Watch Shoes,Clothing,Shoes,Manning Group,8,127.09
134,Listen Jeans,Clothing,Jeans,Walton-Larsen,30,22.81
135,Factor Laptops,Electronics,Laptops,"Washington, Allen and Gonzales",10,125.9
136,Sell Keyboards,Electronics,Keyboards,Young-Rogers,21,132.38
137,Walk Laptops,Electronics,Laptops,"Miller, Hernandez and Reyes",35,110.22
138,Claim Snacks,Grocery,Snacks,"Lewis, Perry and Rivera",4,87.63
139,Man Frozen,Grocery,Frozen,Brown-Wall,36,62.81
140,Improve Hats,Clothing,Hats,"Shah, Smith and Gilmore",50,40.73
141,Parent Beverages,Grocery,Beverages,Woods-Bender,29,55.2
142,Fire Kitchen,Home,Kitchen,Castaneda-Ashley,8,180.42
143,Kind Frozen,Grocery,Frozen,"Adkins, Payne and Morrison",25,131.56
144,Discussion Snacks,Grocery,Snacks,Robinson-Graham,46,90.65
145,Air Dairy,Grocery,Dairy,Rogers-Shelton,34,196.3
146,Interview Frozen,Grocery,Frozen,"Martin, Mcdonald and Anderson",11,28.99
147,Prevent Decor,Home,Decor,"Johnson, Long and Elliott",11,162.47
148,Agreement Monitors,Electronics,Monitors,Day and Sons,13,123.71
149,Trial Jeans,Clothing,Jeans,White-Green,29,81.5
150,Generation T-Shirts,Clothing,T-Shirts,Gibson LLC,25,63.35
151,Sort Jackets,Clothing,Jackets,Ramirez-Bean,44,76.03
152,Know Frozen,Grocery,Frozen,Conley-Ruiz,9,31.15
153,So Bedding,Home,Bedding,"Williams, Crane and Walker",1,133.77
154,Authority Laptops,Electronics,Laptops,"Williams, Johnson and Wright",40,187.47
155,Those Dairy,Grocery,Dairy,Howell and Sons,23,178.92
156,Card Kitchen,Home,Kitchen,Caldwell-Elliott,32,182.14
157,Discover T-Shirts,Clothing,T-Shirts,Lyons-Wang,25,122.02
158,Computer Dairy,Grocery,Dairy,"Lawson, Adkins and Wilson",17,25.06
159,Tell Produce,Grocery,Produce,Oconnell Inc,33,15.61
160,Particular Headphones,Electronics,Headphones,Hickman PLC,6,163.79
161,Research Produce,Grocery,Produce,Sanders-Espinoza,6,144.97
162,Bag Kitchen,Home,Kitchen,"Vaughn, Burton and Garcia",48,182.97
163,Spring Cables,Electronics,Cables,Jefferson-Burke,50,3.44
164,Camera Jeans,Clothing,Jeans,"Patton, Reed and Patterson",18,24.58
165,Hospital Headphones,Electronics,Headphones,Hunter LLC,48,176.77
166,Actually Beverages,Grocery,Beverages,Short-Garcia,41,188.16
167,High Hats,Clothing,Hats,"Snow, Stevens and Hernandez",48,2.96
168,Control Produce,Grocery,Produce,"Boyd, Santos and Gilbert",14,180.58
169,Wide Cables,Electronics,Cables,"Hampton, Marshall and Petersen",38,65.28
170,Person Bedding,Home,Bedding,Morris-Sanchez,1,96.79
171,Worry Decor,Home,Decor,Ramirez Group,35,77.92
172,Either Jackets,Clothing,Jackets,Hudson-Barnett,43,2.77
173,Great Keyboards,Electronics,Keyboards,Snyder LLC,22,129.12
174,Court Shoes,Clothing,Shoes,Lewis-Salinas,35,142.38
175,Grow Shoes,Clothing,Shoes,Beard-Haynes,28,3.95
176,Fact Shoes,Clothing,Shoes,"Smith, Vaughan and Miller",34,3.73
177,Service Frozen,Grocery,Frozen,Freeman-Chang,47,20.23
178,Rock Jackets,Clothing,Jackets,Brewer-Henry,43,93.71
179,Structure Hats,Clothing,Hats,Davis and Sons,45,64.28
180,Interview Lighting,Home,Lighting,"Sanchez, Beck and Wood",28,153.18
181,On Decor,Home,Decor,"Cooper, Barajas and Pierce",22,148.38
182,He Jeans,Clothing,Jeans,"Chavez, Parker and Hall",35,4.79
183,Set Snacks,Grocery,Snacks,Stewart Ltd,16,6.06
184,North Keyboards,Electronics,Keyboards,"Lopez, Robinson and Washington",11,46.99
185,Shake Snacks,Grocery,Snacks,"Bray, Warren and Campbell",12,140.46
186,Black Keyboards,Electronics,Keyboards,Phillips LLC,8,4.0
187,Country Lighting,Home,Lighting,Smith-Ferguson,32,80.09
188,Eye Furniture,Home,Furniture,Mccann PLC,46,52.64
189,Final Cables,Electronics,Cables,"Raymond, Little and Mullins",16,75.28
190,Board Cables,Electronics,Cables,Andrews Group,9,91.85
191,Measure Produce,Grocery,Produce,Peterson-Sheppard,39,171.38
192,Entire Beverages,Grocery,Beverages,Wilson-Jones,43,31.88
193,Million T-Shirts,Clothing,T-Shirts,Ray Ltd,37,139.17
194,Argue Jackets,Clothing,Jackets,Hernandez PLC,31,72.87
195,Fly Cables,Electronics,Cables,Mcknight Inc,28,37.82
196,Open Monitors,Electronics,Monitors,Obrien-Gibbs,41,130.46
197,Draw Bedding,Home,Bedding,"James, Kerr and Evans",15,102.5
198,Per Monitors,Electronics,Monitors,Torres-Oliver,4,75.26
199,Poor Cables,Electronics,Cables,"Garcia, Farmer and Garrett",7,114.86
200,Everything Jeans,Clothing,Jeans,"Miller, Allen and Arnold",33,192.88
